timestamp,price,previous_price,direction,change_amount,percent_change,record_status
2026-08-10T12:12:35.972Z,0.205,,baseline,,,monitoring baseline
2026-08-10T12:21:09.769Z,0.210,0.205,increased,+0.005,+2.44%,matched all-time high
2026-08-12T00:07:34.452Z,0.185,0.210,decreased,-0.025,-11.90%,new all-time low
2026-08-12T07:48:23.036Z,0.205,0.185,increased,+0.020,+10.81%,
2026-08-12T08:58:03.812Z,0.210,0.205,increased,+0.005,+2.44%,matched all-time high
2026-08-12T12:04:58.203Z,0.220,0.210,increased,+0.010,+4.76%,new all-time high
2026-08-12T16:42:32.363Z,0.200,0.220,decreased,-0.020,-9.09%,
2026-08-13T09:22:46.477Z,0.220,0.200,increased,+0.020,+10.00%,matched all-time high
2026-08-13T10:42:13.927Z,0.225,0.220,increased,+0.005,+2.27%,new all-time high
2026-08-13T16:15:14.196Z,0.215,0.225,decreased,-0.010,-4.44%,
2026-08-14T00:08:01.599Z,0.220,0.215,increased,+0.005,+2.33%,
2026-08-14T08:05:15.453Z,0.210,0.220,decreased,-0.010,-4.55%,
2026-08-14T17:09:25.401Z,0.215,0.210,increased,+0.005,+2.38%,
2026-08-15T00:25:26.396Z,0.205,0.215,decreased,-0.010,-4.65%,
2026-08-15T08:12:16.101Z,0.210,0.205,increased,+0.005,+2.44%,
2026-08-15T16:46:17.896Z,0.215,0.210,increased,+0.005,+2.38%,
2026-08-16T01:55:17.410Z,0.210,0.215,decreased,-0.005,-2.33%,
2026-08-16T16:46:22.360Z,0.220,0.210,increased,+0.010,+4.76%,
2026-08-17T01:52:59.560Z,0.205,0.220,decreased,-0.015,-6.82%,
2026-08-17T08:27:44.817Z,0.210,0.205,increased,+0.005,+2.44%,
2026-08-18T00:24:59.793Z,0.190,0.210,decreased,-0.020,-9.52%,
2026-08-18T02:06:42.905Z,0.200,0.190,increased,+0.010,+5.26%,
2026-08-18T10:14:26.180Z,0.210,0.200,increased,+0.010,+5.00%,
2026-08-19T00:24:34.688Z,0.200,0.210,decreased,-0.010,-4.76%,
2026-08-19T13:02:44.658Z,0.210,0.200,increased,+0.010,+5.00%,
2026-08-19T15:24:37.705Z,0.195,0.210,decreased,-0.015,-7.14%,
2026-08-19T22:02:48.478Z,0.200,0.195,increased,+0.005,+2.56%,
2026-08-20T00:25:25.351Z,0.225,0.200,increased,+0.025,+12.50%,matched all-time high
2026-08-20T07:02:53.138Z,0.195,0.225,decreased,-0.030,-13.33%,
2026-08-20T08:53:28.813Z,0.220,0.195,increased,+0.025,+12.82%,
2026-08-20T09:47:48.505Z,0.210,0.220,decreased,-0.010,-4.55%,
2026-08-20T10:16:27.582Z,0.220,0.210,increased,+0.010,+4.76%,
2026-08-21T00:27:17.573Z,0.195,0.220,decreased,-0.025,-11.36%,
2026-08-21T08:18:57.393Z,0.210,0.195,increased,+0.015,+7.69%,
2026-08-22T08:53:38.218Z,0.220,0.210,increased,+0.010,+4.76%,
